id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,square_feet,guests_included,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,percent_host_response_rate,price_in$,weekly_price_in$,monthly_price_in$,security_deposit_in$,cleaning_fee_in$,extra_people_in$,host_since,host_response_time,host_is_superhost,host_neighbourhood,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,city,state,country_code,is_location_exact,room_type,calendar_updated,has_availability,first_review,last_review,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,email_host_verifications,weibo_host_verifications,sesame_offline_host_verifications,jumio_host_verifications,manual_offline_host_verifications,government_id_host_verifications,work_email_host_verifications,reviews_host_verifications,offline_government_id_host_verifications,manual_online_host_verifications,kba_host_verifications,selfie_host_verifications,sesame_host_verifications,facebook_host_verifications,google_host_verifications,phone_host_verifications,identity_manual_host_verifications,is_bed_type_Real Bed,is_bed_type_Pull-out Sofa,is_bed_type_Futon,is_bed_type_Airbed,is_bed_type_Couch,is_property_type_Guest suite,is_property_type_Condominium,is_property_type_Apartment,is_property_type_House,is_property_type_Boat,is_property_type_Townhouse,is_property_type_Serviced apartment,is_property_type_Loft,is_property_type_Bed and breakfast,is_property_type_Bungalow,is_property_type_Other,is_property_type_Villa,is_property_type_Guesthouse,is_property_type_Boutique hotel,is_property_type_In-law,is_property_type_Barn,is_property_type_Hotel,is_property_type_Cottage
34149872,20191204162830,244600805,22.0,22.0,42.34877,-71.07017,2,1.0,1.0,1.0,,1,2,180,1,14,180,180,3.5,180.0,24,44,74,87,23,23,85.0,9.0,10.0,9.0,9.0,9.0,9.0,24,8,16,0,3.9,100.0,140.0,,,300.0,45.0,0.0,2019-02-21,within an hour,0.0,Bay Village,1.0,1.0,Back Bay,Bay Village,Boston,MA,US,1,Entire home/apt,today,1,2019-06-11,2019-11-13,1,1,0,strict_14_with_grace_period,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34155448,20191204162830,57064175,7.0,7.0,42.37941,-71.03739,4,1.0,1.0,2.0,,1,1,1125,1,1,1125,1125,1.0,1125.0,25,55,81,81,63,63,94.0,9.0,9.0,10.0,10.0,10.0,9.0,7,0,7,0,8.92,100.0,88.0,,,100.0,20.0,10.0,2016-02-01,within an hour,0.0,East Boston,1.0,1.0,East Boston,East Boston,Boston,MA,US,1,Private room,a week ago,1,2019-05-07,2019-11-29,1,1,0,flexible,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34195621,20191204162830,258171811,1.0,1.0,42.35358,-71.13073,2,1.0,1.0,1.0,,1,91,1125,91,91,1125,1125,91.0,1125.0,0,0,0,0,21,21,86.0,10.0,8.0,10.0,10.0,9.0,8.0,1,0,1,0,3.23,,59.0,,,,,0.0,2019-04-26,,0.0,Allston-Brighton,1.0,1.0,Allston-Brighton,Allston,Boston,MA,US,1,Private room,4 months ago,1,2019-05-24,2019-08-28,1,0,0,flexible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34212295,20191204162830,15154687,13.0,13.0,42.35919,-71.13223,2,1.0,1.0,1.0,,1,1,1125,1,1,1125,1125,1.0,1125.0,17,46,73,348,50,50,95.0,10.0,10.0,10.0,10.0,10.0,9.0,4,0,4,0,6.85,100.0,99.0,,,0.0,0.0,35.0,2014-05-05,within an hour,0.0,Cambridge,1.0,1.0,Allston-Brighton,Allston,Boston,MA,US,1,Private room,yesterday,1,2019-04-30,2019-11-25,1,0,0,strict_14_with_grace_period,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34212710,20191204162830,15154687,13.0,13.0,42.35925,-71.13256,2,1.0,1.0,1.0,,1,1,1125,1,1,1125,1125,1.0,1125.0,9,25,55,330,38,38,94.0,9.0,9.0,9.0,9.0,9.0,9.0,4,0,4,0,5.35,100.0,99.0,,,0.0,0.0,35.0,2014-05-05,within an hour,0.0,Cambridge,1.0,1.0,Allston-Brighton,Allston,Boston,MA,US,1,Private room,yesterday,1,2019-05-06,2019-11-18,1,0,0,strict_14_with_grace_period,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34212943,20191204162830,15154687,13.0,13.0,42.35926,-71.1315,2,1.0,1.0,1.0,,1,1,1125,1,1,1125,1125,1.0,1125.0,19,49,79,354,44,44,94.0,10.0,9.0,10.0,10.0,10.0,9.0,4,0,4,0,6.06,100.0,99.0,,,0.0,0.0,35.0,2014-05-05,within an hour,0.0,Cambridge,1.0,1.0,Allston-Brighton,Allston,Boston,MA,US,1,Private room,yesterday,1,2019-05-01,2019-11-17,1,0,0,strict_14_with_grace_period,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34225559,20191204162830,217278349,5.0,5.0,42.36274,-71.06366,6,2.0,2.0,3.0,,1,1,1125,1,1,1125,1125,1.0,1125.0,25,49,77,277,41,41,88.0,9.0,9.0,8.0,8.0,10.0,9.0,1,1,0,0,5.72,97.0,300.0,,,0.0,120.0,0.0,2018-09-25,within an hour,0.0,West End,1.0,1.0,Government Center,Downtown,Boston,MA,US,1,Entire home/apt,3 weeks ago,1,2019-05-04,2019-11-17,1,1,0,strict_14_with_grace_period,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34227158,20191204162830,57064175,7.0,7.0,42.37844,-71.03787,2,1.0,1.0,1.0,,1,1,1125,1,1,1125,1125,1.0,1125.0,23,46,73,73,70,70,91.0,10.0,9.0,10.0,10.0,9.0,9.0,7,0,7,0,9.72,100.0,76.0,,,200.0,20.0,10.0,2016-02-01,within an hour,0.0,East Boston,1.0,1.0,East Boston,East Boston,Boston,MA,US,0,Private room,a week ago,1,2019-05-03,2019-11-20,1,1,0,moderate,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34227954,20191204162830,57064175,7.0,7.0,42.37958,-71.03702,3,1.0,1.0,1.0,,1,1,1125,1,1,1125,1125,1.0,1125.0,11,38,66,66,59,59,91.0,10.0,9.0,10.0,10.0,9.0,9.0,7,0,7,0,9.12,100.0,76.0,,,200.0,20.0,10.0,2016-02-01,within an hour,0.0,East Boston,1.0,1.0,East Boston,East Boston,Boston,MA,US,0,Private room,2 months ago,1,2019-05-25,2019-11-15,1,1,0,flexible,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34228239,20191204162830,57064175,7.0,7.0,42.38001,-71.03746,2,1.0,1.0,1.0,,1,1,1125,1,1,1125,1125,1.0,1125.0,27,57,85,85,41,41,91.0,10.0,9.0,10.0,10.0,10.0,9.0,7,0,7,0,6.61,100.0,76.0,,,200.0,20.0,15.0,2016-02-01,within an hour,0.0,East Boston,1.0,1.0,East Boston,East Boston,Boston,MA,US,0,Private room,a week ago,1,2019-06-02,2019-11-18,1,1,0,flexible,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34228492,20191204162830,57064175,7.0,7.0,42.38103,-71.03372,2,1.0,1.0,1.0,,1,1,1125,1,1,1125,1125,1.0,1125.0,25,53,81,81,35,35,93.0,9.0,9.0,10.0,10.0,10.0,9.0,7,0,7,0,4.91,100.0,76.0,,,200.0,20.0,10.0,2016-02-01,within an hour,0.0,East Boston,1.0,1.0,East Boston,East Boston,Boston,MA,US,0,Private room,2 weeks ago,1,2019-05-05,2019-11-16,1,1,0,flexible,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34228708,20191204162830,57064175,7.0,7.0,42.3781,-71.03759,2,1.0,1.0,1.0,,1,1,1125,1,1,1125,1125,1.0,1125.0,16,46,74,74,72,72,94.0,10.0,9.0,10.0,10.0,9.0,9.0,7,0,7,0,10.19,100.0,88.0,,,100.0,20.0,10.0,2016-02-01,within an hour,0.0,East Boston,1.0,1.0,East Boston,East Boston,Boston,MA,US,0,Private room,a week ago,1,2019-05-07,2019-11-11,1,1,0,flexible,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229078,20191204162830,57064175,7.0,7.0,42.38022,-71.03526,2,1.0,1.0,1.0,,1,1,1125,1,1,1125,1125,1.0,1125.0,2,32,33,33,37,37,91.0,10.0,9.0,10.0,10.0,9.0,9.0,7,0,7,0,5.44,100.0,88.0,,,200.0,20.0,10.0,2016-02-01,within an hour,0.0,East Boston,1.0,1.0,East Boston,East Boston,Boston,MA,US,0,Private room,2 weeks ago,1,2019-05-15,2019-11-01,1,1,0,flexible,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
